External code,Vendor,Centre,Dice_BG,Dice_LV,Dice_MYO,Dice_RV,IoU_BG,IoU_LV,IoU_MYO,IoU_RV,HD_BG,HD_LV,HD_MYO,HD_RV
F5I1Z8,C,4,0.9852330684661865,0.8985342383384705,0.8066406846046448,0.9018705487251282,0.9708958864212036,0.8157623410224915,0.6759411096572876,0.8212788701057434,5.0,5.656854249492381,5.0,7.280109889280518
F5I9Q2,B,2,0.9875438809394836,0.9654783010482788,0.855721652507782,0.9174451231956482,0.9753942489624023,0.9332605600357056,0.7478265166282654,0.847481369972229,5.0,4.242640687119285,3.605551275463989,5.385164807134504
F6J9L9,D,5,0.9850252270698547,0.938255786895752,0.8067625761032104,0.8735457062721252,0.9704923629760742,0.8836929202079773,0.6761123538017273,0.7754825949668884,4.0,13.152946437965905,7.14142842854285,7.280109889280518
F8N2S1,B,3,0.9839566946029663,0.9208844304084778,0.831371545791626,0.9157633781433105,0.9684200286865234,0.8533695936203003,0.7114078998565674,0.8446157574653625,5.0,4.58257569495584,7.280109889280518,6.082762530298219
F9M1R2,D,5,0.9862704873085022,0.9198402762413025,0.7957698106765747,0.8887800574302673,0.9729128479957581,0.8515779972076416,0.6608120799064636,0.7998236417770386,4.0,6.4031242374328485,10.246950765959598,8.94427190999916
G0H4J3,B,2,0.9853774905204773,0.9226351976394653,0.8552302718162537,0.9442040324211121,0.9711764454841614,0.856381356716156,0.7470762133598328,0.894305408000946,6.324555320336759,4.0,6.324555320336759,5.0990195135927845
G0I6P3,B,3,0.9815240502357483,0.9096869230270386,0.8224805593490601,0.8724595308303833,0.9637184739112854,0.8343355059623718,0.698485791683197,0.7737722992897034,5.0,6.0,5.385164807134504,6.48074069840786
G0I7Z6,C,4,,,,,,,,,,,,
G1J5K3,D,5,0.9853050112724304,0.9080355167388916,0.8338088989257812,0.8960430026054382,0.9710357189178467,0.8315613865852356,0.7149847745895386,0.8116647005081177,4.0,7.3484692283495345,7.14142842854285,10.246950765959598
G1K1V3,B,2,0.9848430752754211,0.9396789073944092,0.8222826719284058,0.9264553785324097,0.9701387286186218,0.8862211108207703,0.6982004046440125,0.8629873394966125,3.0,9.055385138137417,5.0,5.0
G1N6S7,B,2,0.9787051677703857,0.8793677687644958,0.7983322739601135,0.8438567519187927,0.95829838514328,0.7847067713737488,0.6643535494804382,0.729889452457428,4.0,7.0,18.411952639521967,8.06225774829855
G2J1M5,B,2,0.9787760972976685,0.8255124688148499,0.7561742663383484,0.8981584906578064,0.9584344029426575,0.7028703093528748,0.6079422831535339,0.8151430487632751,2.23606797749979,7.14142842854285,7.810249675906654,22.693611435820433
G2M7W4,B,3,0.9829100370407104,0.8963053822517395,0.7746742367744446,0.9071710705757141,0.9663943648338318,0.8120954632759094,0.6322189569473267,0.830112636089325,4.47213595499958,5.196152422706632,8.602325267042627,12.041594578792296
G2O2S6,B,2,0.9861888289451599,0.9055299758911133,0.8548300862312317,0.9366443157196045,0.9727540016174316,0.827368438243866,0.7464657425880432,0.88083815574646,3.0,5.385164807134504,4.242640687119285,9.055385138137417
G3M5S4,B,3,0.9862382411956787,0.8721570372581482,0.802483856678009,0.8709849715232849,0.9728501439094543,0.7732965350151062,0.6701235771179199,0.7714555859565735,4.123105625617661,11.090536506409418,7.211102550927978,24.779023386727733
G4I7V2,D,5,0.9838578104972839,0.8264358639717102,0.739330530166626,0.8884435296058655,0.9682284593582153,0.7042102813720703,0.586458683013916,0.7992788553237915,5.0,41.048751503547585,5.744562646538029,55.90169943749474
G4K8P3,C,4,,,,,,,,,,,,
G4L8Z7,B,2,0.9835925102233887,0.9520723819732666,0.8404720425605774,0.8795613050460815,0.9677147269248962,0.908528745174408,0.7248398065567017,0.7850151062011719,8.54400374531753,4.47213595499958,8.602325267042627,10.0
G4S9U3,F,6,0.9944363832473755,0.9730924963951111,0.8878298997879028,0.9317908883094788,0.988934338092804,0.9475950598716736,0.7982860803604126,0.8722925186157227,3.605551275463989,2.23606797749979,3.0,7.0710678118654755
G4U3U8,C,4,,,,,,,,,,,,
G5P4U3,F,6,0.9951477646827698,0.9434919953346252,0.9010231494903564,0.9510405659675598,0.9903424382209778,0.8930287957191467,0.8198745250701904,0.906651496887207,4.0,9.0,3.0,5.916079783099616
G6T0Z6,C,4,,,,,,,,,,,,
