Model,Centre,Dice_LV_ED,Dice_MYO_ED,Dice_RV_ED,Dice_LV_ES,Dice_MYO_ES,Dice_RV_ES
spatial_w_T10_R02,3,0.940526394376538,0.8116665940187748,0.8473273108061709,0.8888211301678904,0.6847033445424245,0.7424652445121703
spatial_w_T15_R03,3,0.9087734334611103,0.7615133641305747,0.8923475894165193,0.8335982281162585,0.6166711763489362,0.8086870214092602
spatial_w_elastic,3,0.9314029602588458,0.7788716895628559,0.8447202311555622,0.8722059685386566,0.6400217418443976,0.7388351237280001
DiceLoss,4,0.894527843748752,0.7360064174020182,0.8360809363544915,0.822261212787938,0.5933361403933501,0.7277490313559427
DiceLoss_modified,4,0.07598276292775598,0.08329608642815081,0.0,0.03966151780828592,0.044110448070833946,0.0
all_transforms,4,0.8770824418311596,0.7258505695891769,0.8075358202358038,0.7879387691394601,0.5773774158753611,0.689221601766148
benchmark,4,0.9040469655727759,0.7618509866918555,0.8054739484293891,0.8286732150436851,0.6211381353067095,0.7041843503440588
improved_transforms,4,0.895810094641487,0.753933212166731,0.841151732659969,0.8240655922369226,0.6145197735260065,0.7334543596586576
intensity_w_bias,4,0.8696467010707997,0.7241031260472108,0.7789890244916612,0.7830437772310529,0.5753711672090347,0.6755026054166673
intensity_w_bias_gamma,4,0.8888968218866662,0.736638552693466,0.8113924001073063,0.8066238058419681,0.592525645063519,0.7166249236912855
simple_intensity,4,0.8572028878053664,0.7212164576714674,0.7930879188962959,0.7705308556392204,0.5759955205093227,0.6896211954241448
simple_spatial,4,0.8384679072856738,0.689308923358096,0.8104182193514015,0.7399869065840933,0.5380845278791752,0.6892508127736543
simple_spatial_bigger_batch,4,0.8808025046609261,0.7661384957905689,0.8290898089915041,0.7993093815510729,0.6277115881375408,0.7196007676263931
simple_spatial_intensity,4,0.8976952906094575,0.708142479784677,0.8256006403538413,0.8177458969593365,0.5560964754623726,0.7133432153042251
simple_spatial_lower_lr,4,0.884275844594583,0.7161956654259952,0.8412609077983093,0.7966983924342085,0.5649132966018678,0.7331533086338791
simple_spatial_smaller_batch,4,0.915607323238524,0.7681295568186067,0.8684551620587784,0.8466663510704342,0.6286613973456265,0.7726843568466835
simple_spatial_with_blur,4,0.8644951319920382,0.7088861222346464,0.8159690474263567,0.7777117340093127,0.5601745093089397,0.69868945206643
simple_spatial_with_gaussian_smooth,4,0.8138766851671893,0.6884861978743703,0.8124436587170769,0.704206426733832,0.5362158373960366,0.6950028816030566
spatial_w_T00_R02,4,0.8836869530833565,0.7382978915222433,0.8603332447494,0.808302096585361,0.5983405091202504,0.7606139101667291
spatial_w_T00_R03,4,0.8680057478467141,0.6782601925223172,0.8044152525973735,0.7748430536139297,0.520857186803876,0.6866033760030397
spatial_w_T05_R01,4,0.9049366377335057,0.767732748234675,0.849377309993777,0.8301090358870645,0.6295914945220833,0.7446640048653815
spatial_w_T10_R02,4,0.9059497218311717,0.77421806736645,0.8171497123447555,0.8313283518249632,0.6361678575474617,0.702205259993974
spatial_w_T15_R03,4,0.8623367878188035,0.7019623721722731,0.8186333023325684,0.7654304091635206,0.5486611818762844,0.70188760891824
spatial_w_elastic,4,0.8780054979412262,0.7068656991180625,0.7192304382318409,0.7916527937282767,0.557828839029061,0.5913834206316451
DiceLoss,5,0.907490527805277,0.7440167338007768,0.8393960500389183,0.8340465209916487,0.598102240804541,0.7396432654866159
DiceLoss_modified,5,0.10937293902287587,0.10551176785864087,0.0,0.05809833569618855,0.05666722298175179,0.0
all_transforms,5,0.8573320084271184,0.6443895171780393,0.6613271858371954,0.7590445975403642,0.48225841162214383,0.5159551238418557
benchmark,5,0.9072178027492893,0.7301615651557034,0.8482107117421771,0.8342390130287946,0.5799760274210648,0.7452623100849775
improved_transforms,5,0.8980470093766385,0.7472459570930314,0.8508820881791207,0.8196300635367066,0.6009097484849978,0.7536718064514093
intensity_w_bias,5,0.8661881649670247,0.6819770500175545,0.8009423498650977,0.7693374452539746,0.5217822106651167,0.6877545914366519
intensity_w_bias_gamma,5,0.8981719986269855,0.7133879978664459,0.850687955249484,0.8191290348114522,0.5612514429074409,0.7528274681679505
simple_intensity,5,0.8929489236222692,0.7119489951137722,0.8506113963503114,0.811560018489116,0.5613171139544602,0.7494476266252238
simple_spatial,5,0.7930092555651231,0.6271590429142252,0.7583248635821603,0.6751412968465018,0.46530008666782874,0.6234022940280695
simple_spatial_bigger_batch,5,0.9007117169593362,0.7468807953134672,0.79583604924389,0.8209632591728514,0.5989175770585767,0.6799065718599945
simple_spatial_intensity,5,0.8694998805537777,0.6659089784203381,0.6447649482895187,0.7738263962519899,0.5027864425711758,0.4966668972159108
simple_spatial_lower_lr,5,0.9123634321220067,0.7574604164263208,0.8286967454240962,0.8415799460596801,0.6125662438752724,0.7245229203573448
simple_spatial_smaller_batch,5,0.9052465470921186,0.7269007212816367,0.8402169872383337,0.8300754984397668,0.5780894790686358,0.7382818634070467
simple_spatial_with_blur,5,0.8852081844747886,0.7516564947624366,0.7931873788870268,0.8024845235698231,0.6076136610787263,0.6799432178096982
simple_spatial_with_gaussian_smooth,5,0.7874218170557371,0.6743353613685413,0.7277166653609387,0.67085007862862,0.5178526070584921,0.5986764951016298
spatial_w_T00_R02,5,0.8674326993848396,0.690568759660573,0.8282459498250893,0.7752062466915157,0.5346841671478137,0.7212320115110422
spatial_w_T00_R03,5,0.8431779638563335,0.5978278798498092,0.5876338164813246,0.7385876651436318,0.43462098521407194,0.44180945116395165
spatial_w_T05_R01,5,0.8427189903294693,0.6465600620450317,0.7629015423604579,0.7376357973895289,0.485465329700587,0.6353605505084822
spatial_w_T10_R02,5,0.8158757556202586,0.6446364385583894,0.4921288699631057,0.7076621662591956,0.4911088065934127,0.3688941127500183
spatial_w_T15_R03,5,0.8416159852026671,0.6270458970775755,0.6713864750683188,0.7352959802798672,0.46386139781094016,0.5356539130958047
spatial_w_elastic,5,0.8934130293267653,0.658954876380611,0.6192568503238632,0.811545306954926,0.5017143982467841,0.47891554385224366
