External code,Vendor,Centre,Dice_BG,Dice_LV,Dice_RV,Dice_MYO,IoU_BG,IoU_LV,IoU_RV,IoU_MYO,HD_BG,HD_LV,HD_RV,HD_MYO
A6B5G9,F,6,0.9971123337745667,0.9685565829277039,0.9389864206314087,0.9611653685569763,0.9942413568496704,0.9390302896499634,0.8849900364875793,0.9252342581748962,2.0,2.0,2.23606797749979,3.1622776601683795
A6B7Y4,D,5,0.9815583825111389,0.9042343497276306,0.8210853934288025,0.8868213891983032,0.9637846350669861,0.8252077698707581,0.6964756846427917,0.7966568470001221,4.0,11.357816691600547,7.483314773547883,10.816653826391969
A6D5F9,F,6,0.9948768615722656,0.9827902317047119,0.9427212476730347,0.9650931358337402,0.9898059368133545,0.9661628007888794,0.8916486501693726,0.9325410723686218,4.0,2.0,9.055385138137417,2.23606797749979
A6J0Y2,B,2,0.9770599603652954,0.9166941046714783,0.7421541810035706,0.8978581428527832,0.9551488161087036,0.8462005853652954,0.5900200009346008,0.814648449420929,5.0,15.362291495737216,31.20897306865447,8.06225774829855
A6M1Q7,B,2,0.9860524535179138,0.9298241138458252,0.8326062560081482,0.9153786897659302,0.9724885821342468,0.8688516616821289,0.7132179737091064,0.8439615964889526,4.0,23.40939982143925,25.534290669607408,6.4031242374328485
A7D9L8,A,1,0.9761906862258911,0.9325488209724426,0.8169199228286743,0.8664452433586121,0.953488826751709,0.873621940612793,0.6905026435852051,0.7643612027168274,8.0,5.0,7.681145747868608,12.12435565298214
A7E4J0,B,3,0.9771358966827393,0.936188280582428,0.8175522685050964,0.896892249584198,0.9552939534187317,0.8800318837165833,0.6914066672325134,0.8130594491958618,8.54400374531753,3.7416573867739413,8.06225774829855,7.0710678118654755
A7F4G2,D,5,0.9725019335746765,0.9085894227027893,0.7119543552398682,0.8528863191604614,0.9464757442474365,0.8324909210205078,0.5527399778366089,0.7435063123703003,4.0,4.47213595499958,12.083045973594572,34.19064199455752
A7G0P5,B,2,0.9730044007301331,0.9117646813392639,0.8049176335334778,0.8732852935791016,0.9474280476570129,0.837837815284729,0.673524796962738,0.7750722169876099,9.0,8.660254037844387,8.306623862918075,4.58257569495584
A7M7P8,F,6,0.9940310716629028,0.9537824392318726,0.9162834882736206,0.9470904469490051,0.9881330132484436,0.9116483330726624,0.8455011248588562,0.8994984030723572,2.23606797749979,3.4641016151377544,5.0990195135927845,4.358898943540674
A7O4T6,F,6,0.9961848258972168,0.9732693433761597,0.9322038292884827,0.97530597448349,0.9923986792564392,0.9479305744171143,0.8730167150497437,0.9518020749092102,2.0,2.0,2.23606797749979,3.0
A8C5E9,C,4,0.946239173412323,0.7049958109855652,0.5044168829917908,0.08830797672271729,0.8979639410972595,0.5443965792655945,0.3372710645198822,0.046193622052669525,4.0,60.909769331364245,55.839054433254866,46.76537180435969
A8C9H8,C,4,,,,,,,,,,,,
A8C9U8,B,2,0.9764798879623413,0.9236819744110107,0.7963645458221436,0.907214879989624,0.9540407657623291,0.8581868410110474,0.6616326570510864,0.8301859498023987,8.54400374531753,6.164414002968976,12.36931687685298,11.180339887498949
A8E1F4,B,3,0.9873800277709961,0.9433044791221619,0.8201537728309631,0.9201413989067078,0.9750746488571167,0.8926928043365479,0.6951361298561096,0.8520943522453308,5.0,7.211102550927978,6.48074069840786,8.774964387392123
A8I1U6,C,4,,,,,,,,,,,,
A9C5P4,B,2,0.9764225482940674,0.8128430843353271,0.7933616638183594,0.8048424124717712,0.9539312124252319,0.6846972703933716,0.6574974656105042,0.6734194755554199,5.0,36.24913792078372,32.218007387174026,11.224972160321824
A9E3G9,B,3,0.9817851185798645,0.9041624665260315,0.7912938594818115,0.878594160079956,0.9642218947410583,0.8250880241394043,0.6546618938446045,0.7834756374359131,3.0,3.0,5.0990195135927845,7.615773105863909
A9F3T5,C,4,0.968616783618927,0.8030170202255249,0.7344687581062317,0.6564149260520935,0.9391434192657471,0.6708675622940063,0.580363929271698,0.48855477571487427,7.0,40.124805295477756,29.34280150224242,18.275666882497067
