External code,Vendor,Centre,Dataset,Dice_BG,Dice_LV,Dice_MYO,Dice_RV,IoU_BG,IoU_LV,IoU_MYO,IoU_RV,HD_BG,HD_LV,HD_MYO,HD_RV
B8H5H6,A,1,Train,0.9928799867630005,0.9715666770935059,0.9099459052085876,0.9380120635032654,0.9858606457710266,0.9447055459022522,0.8347713351249695,0.8832606077194214,2.8284271247461903,2.0,3.0,6.4031242374328485
B8J7R4,A,1,Train,0.9928222298622131,0.9747039079666138,0.9158682227134705,0.9366839528083801,0.9857468008995056,0.950655996799469,0.8447941541671753,0.8809083104133606,3.3166247903554,2.23606797749979,2.8284271247461903,10.099504938362077
B8P5Q9,C,4,Test,0.9778117537498474,0.8717461824417114,0.7783988118171692,0.91203773021698,0.9565867185592651,0.7726507782936096,0.6371955275535583,0.838299036026001,5.0,4.898979485566356,11.090536506409418,20.518284528683193
B9E0Q1,A,1,Train,0.9949042201042175,0.9611425399780273,0.9082221984863281,0.9294999837875366,0.9898601174354553,0.9251918792724609,0.8318745493888855,0.8682858347892761,3.605551275463989,4.123105625617661,4.123105625617661,10.246950765959598
B9G4U2,D,5,Test,0.9875903129577637,0.9410998821258545,0.8632963299751282,0.9145324230194092,0.9754847884178162,0.8887522220611572,0.7594735026359558,0.8425239324569702,4.0,3.3166247903554,10.862780491200215,14.0
B9H8N8,A,1,Test,0.9832077622413635,0.8820067048072815,0.7865642309188843,0.9257669448852539,0.9669702053070068,0.7889194488525391,0.6482125520706177,0.8617933392524719,3.0,7.14142842854285,9.055385138137417,4.242640687119285
B9O1Q0,B,2,Train,0.9920236468315125,0.9597387313842773,0.9103257060050964,0.9420385956764221,0.984173595905304,0.9225939512252808,0.8354108333587646,0.8904281854629517,7.0710678118654755,4.47213595499958,6.708203932499369,5.0990195135927845
C0K1P0,A,1,Train,0.9950021505355835,0.9644108414649963,0.9112693071365356,0.9432490468025208,0.9900539517402649,0.9312678575515747,0.8370015621185303,0.8925935626029968,4.123105625617661,3.1622776601683795,3.605551275463989,4.123105625617661
C0L7V1,D,5,Test,0.9817208051681519,0.8355335593223572,0.8106091618537903,0.9132339954376221,0.9640979170799255,0.7175248265266418,0.6815330386161804,0.8403225541114807,3.0,8.12403840463596,26.589471600616662,7.14142842854285
C0N8P4,C,4,Test,0.992165207862854,0.93662428855896,0.8419545888900757,0.9469996690750122,0.9844523072242737,0.8808028101921082,0.7270479798316956,0.8993346095085144,2.8284271247461903,3.605551275463989,5.385164807134504,4.123105625617661
C0S7W0,B,3,Train,0.9926962852478027,0.9692134261131287,0.9195529222488403,0.9415979981422424,0.9854984879493713,0.9402658939361572,0.8510856032371521,0.8896411657333374,4.123105625617661,2.8284271247461903,2.23606797749979,4.47213595499958
C0W2Y5,C,4,,,,,,,,,,,,,
C1G5Q0,B,3,Train,0.9925797581672668,0.9610403776168823,0.8709231615066528,0.9455766081809998,0.9852688312530518,0.9250026941299438,0.7713586091995239,0.8967713117599487,4.0,3.605551275463989,3.1622776601683795,21.540659228538015
C1K8P5,A,1,Train,0.9935907125473022,0.9639019966125488,0.9086970686912537,0.9442763328552246,0.9872630834579468,0.9303193688392639,0.8326717615127563,0.8944351673126221,3.1622776601683795,3.0,3.1622776601683795,3.605551275463989
C2J0K3,A,1,Train,0.9895419478416443,0.936367392539978,0.878922700881958,0.8492835164070129,0.979300320148468,0.8803485035896301,0.7839982509613037,0.7380475997924805,4.0,5.0,5.477225575051661,14.798648586948742
C2L5P7,B,2,Train,0.9929088354110718,0.9601810574531555,0.9099323153495789,0.9496454000473022,0.9859175086021423,0.9234117865562439,0.8347485065460205,0.9041188359260559,4.0,3.0,3.0,4.0
