External code,Vendor,Centre,Dice_BG,Dice_LV,Dice_RV,Dice_MYO,IoU_BG,IoU_LV,IoU_RV,IoU_MYO,HD_BG,HD_LV,HD_RV,HD_MYO
E5E6O8,B,2,0.9469802379608154,0.5666577816009521,0.5919338464736938,0.5050528645515442,0.8992996215820312,0.3953402042388916,0.42038780450820923,0.3378399610519409,9.0,9.273618495495704,11.532562594670797,35.566838487557476
E5F5V7,B,3,0.9891454577445984,0.956669270992279,0.8289536833763123,0.9050976037979126,0.9785240292549133,0.9169376492500305,0.7078744173049927,0.8266468644142151,4.0,3.0,4.242640687119285,6.708203932499369
E5J6L2,D,5,0.9870479702949524,0.8825110793113708,0.7309743762016296,0.9053415060043335,0.9744271636009216,0.7897269129753113,0.5760123133659363,0.8270537853240967,3.4641016151377544,10.198039027185569,7.810249675906654,26.68332812825267
E5S7W7,B,2,0.9673753380775452,0.720807671546936,0.5608933568000793,0.6617065668106079,0.9368121027946472,0.5634865760803223,0.3897510766983032,0.49444055557250977,8.0,11.0,10.63014581273465,23.345235059857504
E6H0V9,D,5,0.9709889888763428,0.8544661998748779,0.714341938495636,0.8296017050743103,0.9436138272285461,0.7459109425544739,0.5556235909461975,0.7088199853897095,4.0,10.04987562112089,11.045361017187261,13.96424004376894
E6J4N8,B,2,0.9582504034042358,0.6145734786987305,0.569118320941925,0.5533784031867981,0.9198471903800964,0.44359874725341797,0.39773958921432495,0.3825315833091736,9.0,8.306623862918075,7.810249675906654,24.166091947189145
E6M6P2,C,4,0.9907616972923279,0.9323833584785461,0.7981978058815002,0.8972005844116211,0.9816924929618835,0.873331606388092,0.6641673445701599,0.8135664463043213,3.0,4.242640687119285,10.677078252031311,12.12435565298214
E7L0N6,C,4,0.9846644997596741,0.8370885848999023,0.6832225918769836,0.9029721021652222,0.9697921872138977,0.7198214530944824,0.5188595652580261,0.8231077194213867,3.0,6.4031242374328485,5.916079783099616,5.916079783099616
E9H1U4,A,1,0.9936953186988831,0.9707213044166565,0.9069505929946899,0.9359843134880066,0.9874696731567383,0.943108320236206,0.829743504524231,0.879671573638916,3.0,2.23606797749979,3.605551275463989,5.385164807134504
E9H2K7,B,2,0.9588102102279663,0.7762653231620789,0.6567848920822144,0.2980269491672516,0.9208793640136719,0.6343411803245544,0.4889647960662842,0.1751067340373993,7.0,8.0,11.045361017187261,26.248809496813376
E9L1W5,B,3,0.9908832311630249,0.9480693936347961,0.839686930179596,0.9257919788360596,0.981931209564209,0.9012660384178162,0.7236727476119995,0.8618367910385132,4.0,6.0,8.06225774829855,10.246950765959598
E9L4N2,C,4,,,,,,,,,,,,
E9V4Z8,A,1,0.9929830431938171,0.9678696393966675,0.8825899362564087,0.9482853412628174,0.9860638380050659,0.9377396702766418,0.7898532152175903,0.901656448841095,3.0,3.0,2.8284271247461903,3.605551275463989
E9V9Z2,C,4,0.9060070514678955,0.394956111907959,0.28999701142311096,0.001025640987791121,0.8281653523445129,0.24607184529304504,0.1695885956287384,0.0005130836507305503,4.0,11.74734012447073,26.77685567799177,82.12794895770867
F0I6U8,C,4,0.9819687008857727,0.8601527810096741,0.6986544728279114,0.7523486018180847,0.9645761847496033,0.7546210885047913,0.5368708372116089,0.6030118465423584,3.605551275463989,21.400934559032695,17.46424919657298,15.84297951775486
F0J2R8,B,2,0.9480884075164795,0.6351157426834106,0.5438753366470337,0.023442886769771576,0.9013004302978516,0.4653257131576538,0.3735087811946869,0.011860464699566364,4.0,8.12403840463596,14.142135623730951,53.48831648126533
F0K4T6,A,1,0.9899352788925171,0.968512773513794,0.8801263570785522,0.9127842783927917,0.9800711870193481,0.9389479756355286,0.785915732383728,0.8395613431930542,4.0,6.4031242374328485,5.0,7.681145747868608
F1F3I6,B,2,0.9827454686164856,0.8959317207336426,0.8490501642227173,0.8867135047912598,0.9660762548446655,0.8114821910858154,0.7376952171325684,0.7964827418327332,4.0,6.4031242374328485,5.385164807134504,7.0
F1K2S9,C,4,0.9898789525032043,0.9031407833099365,0.7545744180679321,0.7568950057029724,0.9799606800079346,0.8233880996704102,0.6058768033981323,0.608874499797821,3.0,7.874007874011811,7.0,13.74772708486752
F2H5S1,A,1,0.9945631623268127,0.970358669757843,0.9302110075950623,0.953258216381073,0.989185094833374,0.942423939704895,0.8695275187492371,0.91069096326828,3.3166247903554,3.1622776601683795,2.8284271247461903,3.0
F3G5K5,A,1,0.9920757412910461,0.9746084809303284,0.9110919833183289,0.9239544868469238,0.9842760562896729,0.9504745602607727,0.8367024064064026,0.8586574196815491,5.0990195135927845,3.1622776601683795,3.4641016151377544,9.486832980505138
F3L0M1,C,4,,,,,,,,,,,,
F4K3S1,B,3,0.983022928237915,0.948495090007782,0.8171084523200989,0.86974036693573,0.966612696647644,0.9020357728004456,0.6907720565795898,0.7695049047470093,5.0,4.123105625617661,6.324555320336759,6.48074069840786
F5I1Z8,C,4,0.9755122065544128,0.876523494720459,0.8029183149337769,0.8186127543449402,0.9521950483322144,0.7801885008811951,0.6707297563552856,0.692924976348877,9.0,4.58257569495584,4.47213595499958,9.273618495495704
F5I9Q2,B,2,0.9806545972824097,0.8372974991798401,0.7156985998153687,0.8690274357795715,0.9620434641838074,0.720130443572998,0.5572668313980103,0.7683894634246826,8.0,6.164414002968976,9.273618495495704,12.884098726725126
F6J9L9,D,5,0.9850477576255798,0.9524732232093811,0.82448410987854,0.8590402603149414,0.9705360531806946,0.9092590808868408,0.7013806700706482,0.7529101967811584,3.1622776601683795,4.58257569495584,4.47213595499958,8.06225774829855
F8N2S1,B,3,0.9855263829231262,0.948918879032135,0.8407800197601318,0.8858277201652527,0.9714657664299011,0.9028027057647705,0.7252980470657349,0.79505455493927,5.0,4.123105625617661,7.3484692283495345,4.898979485566356
F9M1R2,D,5,0.9834673404693604,0.9211829304695129,0.7691649794578552,0.8488600254058838,0.967472493648529,0.8538824319839478,0.6249131560325623,0.7374081611633301,4.0,7.3484692283495345,10.04987562112089,9.899494936611665
G0H4J3,B,2,0.9671827554702759,0.7184811234474182,0.7218728065490723,0.8231332898139954,0.9364510178565979,0.5606480836868286,0.5647894740104675,0.6994278430938721,8.660254037844387,6.082762530298219,12.767145334803704,12.083045973594572
G0I6P3,B,3,0.9884766340255737,0.9379319548606873,0.8203195929527283,0.9125292897224426,0.9772158265113831,0.8831184506416321,0.6953744292259216,0.8391299247741699,5.0,18.920887928424502,19.235384061671343,6.708203932499369
G0I7Z6,C,4,,,,,,,,,,,,
G1J5K3,D,5,0.9889848232269287,0.9324272871017456,0.840215802192688,0.8879039287567139,0.9782096743583679,0.8734087347984314,0.7244587540626526,0.7984057664871216,3.0,7.0710678118654755,4.242640687119285,12.806248474865697
G1K1V3,B,2,0.9540145397186279,0.6703969240188599,0.5338392853736877,0.5437588095664978,0.912072479724884,0.5042082667350769,0.3641069233417511,0.37339887022972107,4.0,13.19090595827292,18.601075237738275,21.307275752662516
G1N6S7,B,2,0.9654607176780701,0.8077382445335388,0.771665632724762,0.5720842480659485,0.9332277178764343,0.6774840354919434,0.6282211542129517,0.40064284205436707,4.0,6.164414002968976,8.06225774829855,10.04987562112089
